Timed,With TMD (m/s^2),,,Timed,Without TMD (m/s^2)
0,0.4079,,,0,0.0903
0.048,0.3779,,,0.054,0.6703
0.097,-0.4321,,,0.101,0.5303
0.15,-0.7821,,,0.171,-1.0997
0.209,-0.6621,,,0.199,-1.0297
0.26,0.1779,,,0.275,-0.2397
0.289,0.7679,,,0.307,0.3903
0.35,0.5679,,,0.365,1.0703
0.406,-0.0221,,,0.425,0.7003
0.466,-0.6121,,,0.46,-0.5797
0.522,-0.6721,,,0.528,-0.9397
0.55,-0.0521,,,0.562,-0.5197
0.599,0.6179,,,0.62,0.1603
0.651,0.6079,,,0.683,0.8903
0.707,0.1479,,,0.713,0.7403
0.762,-0.4521,,,0.784,-0.1997
0.815,-0.6521,,,0.835,-0.7297
0.871,-0.2021,,,0.884,-0.6297
0.928,0.3779,,,0.938,-0.0897
0.987,0.5279,,,0.992,0.6503
1.017,0.2579,,,1.026,0.7403
1.07,-0.3121,,,1.102,0.0703
1.126,-0.5221,,,1.127,-0.5097
1.179,-0.2421,,,1.187,-0.6297
1.228,0.2479,,,1.242,-0.2497
1.278,0.4679,,,1.292,0.4203
1.331,0.2779,,,1.346,0.6603
1.382,-0.1821,,,1.404,0.2303
1.449,-0.4821,,,1.458,-0.3097
1.479,-0.2821,,,1.512,-0.5497
1.532,0.1479,,,1.565,-0.3497
1.587,0.4079,,,1.619,0.2203
1.641,0.2879,,,1.644,0.5403
1.699,-0.0921,,,1.705,0.3303
1.755,-0.3421,,,1.759,-0.1297
1.81,-0.2521,,,1.809,-0.4497
1.839,0.0279,,,1.862,-0.3697
1.896,0.2879,,,1.919,0.0603
1.952,0.2679,,,1.972,0.4103
2.008,-0.0221,,,2.026,0.3503
2.064,-0.2921,,,2.073,-0.0097
2.124,-0.2521,,,2.126,-0.3397
2.154,-0.0121,,,2.176,-0.3597
2.211,0.2379,,,2.223,-0.0397
2.266,0.2679,,,2.276,0.2803
2.315,0.0479,,,2.328,0.3303
2.368,-0.2121,,,2.384,0.0903
2.42,-0.2321,,,2.443,-0.2297
2.471,-0.0521,,,2.499,-0.3197
2.526,0.1579,,,2.527,-0.0997
2.579,0.2179,,,2.572,0.1803
2.636,0.0679,,,2.626,0.2803
2.666,-0.1421,,,2.706,0.1403
2.731,-0.1921,,,2.73,-0.1397
2.786,-0.0621,,,2.784,-0.2697
2.822,0.1079,,,2.832,-0.1297
2.884,0.1879,,,2.89,0.1003
2.934,0.0779,,,2.944,0.2403
2.99,-0.1021,,,2.994,0.1503
3.044,-0.1721,,,3.04,-0.0797
3.097,-0.0721,,,3.116,-0.2197
3.151,0.0679,,,3.16,-0.1497
3.184,0.1479,,,3.206,0.0603
3.245,0.0879,,,3.261,0.2003
3.298,-0.0521,,,3.318,0.1603
3.349,-0.1221,,,3.371,-0.0297
3.397,-0.0721,,,3.42,-0.1797
3.448,0.0379,,,3.472,-0.1497
3.504,0.1079,,,3.522,0.0103
3.554,0.0679,,,3.571,0.1603
3.601,-0.0421,,,3.625,0.1503
3.657,-0.1021,,,3.679,0.0103
3.705,-0.0621,,,3.727,-0.1397
3.755,0.0279,,,3.764,-0.1497
3.812,0.0879,,,3.834,-0.0197
